local;estacao;patrimonio;item_informado;tipo;fabricante;modelo;numero_serie;status_importacao;observacoes
Livros;Jessica;1370;Pc 1370;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Pc 1370.; Nome GLPI: PC-1370.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (8).csv."
Livros;Jessica;1885;Headset 1885;Headset;Zox Telecom;DH-80;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Headset 1885.; Nome GLPI: HEADSET ZOX 1885.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (11).csv."
Livros;Jessica;1246;Teclado 1246;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Teclado 1246.; Nome GLPI: TECLADO 1246.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (11).csv."
Livros;Jessica;1936;Mouse 1936;Mouse;;;;REVISAO;"Levantamento atual: Livros / Jessica.; Item informado: Mouse 1936.; Nome GLPI: Mouse 1936.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Livros;Jessica;0195;Monitor 0195;Monitor;Samsung Electric Company;Syncmaster 540 N (LCD);;OK;"Levantamento atual: Livros / Jessica.; Item informado: Monitor 0195.; Nome GLPI: SAMSUNG 0195.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (9).csv."
Livros;Jessica;1086;Monitor 1086;Monitor;Dell Inc.;DELL E1913;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Monitor 1086.; Nome GLPI: DELL 1086.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (9).csv."
Livros;Jessica;1899;Scanner 1899;Scanner;Canon Electronics, Inc.;CANON DR-C240;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Scanner 1899.; Nome GLPI: CANON DR-C240 1899.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (12).csv."
Livros;Jessica;1874;Switch livros 1874;Switch;Tplink;TPLINK LS108G;;OK;"Levantamento atual: Livros / Jessica.; Item informado: Switch livros 1874.; Nome GLPI: SWITCH 1874.; Referencia GLPI desatualizada: grupo=Livros; usuario=-.; Origem GLPI: glpi (10).csv."
Reconhecimento;Robson;0112;Monitor 112;Monitor;;;;REVISAO;"Levantamento atual: Reconhecimento / Robson.; Item informado: Monitor 112.; Nome GLPI: Monitor 112.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Robson;1274;Mouse 1274;Mouse;Dell Inc.;WIRELESS MOBILE MOUSE 1000;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Mouse 1274.; Nome GLPI: MOUSE 1274.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Robson;1457;Teclado 1457;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Teclado 1457.; Nome GLPI: TECLADO 1457.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Robson;1884;Scanner 1884;Scanner;Brother;ADS 1250W;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Scanner 1884.; Nome GLPI: ADS 1250W 1884.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Robson;1060;Epson 1060;Impressora;Seiko Epson Corp.;;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Epson 1060.; Nome GLPI: IMPRESSORA TM-T20 - 1060.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Robson;1707;Argox 1707;Impressora de etiquetas;;;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Argox 1707.; Nome GLPI: ARGOX 1707.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Robson;1407;Webcam do Robson 1407;Webcam;Logitech, Inc.;;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Webcam do Robson 1407.; Nome GLPI: C920 PRO HD Webcam - 1407.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Robson;1318;Biometria Robson 1318;Biometria;;;;REVISAO;"Levantamento atual: Reconhecimento / Robson.; Item informado: Biometria Robson 1318.; Nome GLPI: Biometria Robson 1318.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Robson;1291;Robson vostro 1291;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Reconhecimento / Robson.; Item informado: Robson vostro 1291.; Nome GLPI: PC-1291.; Processador: Intel Core i5-8400 CPU @ 2.80GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (8).csv."
Reconhecimento;Jo?o;1708;Argox 1708;Impressora de etiquetas;;;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Argox 1708.; Nome GLPI: ARGOX 1708.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Jo?o;1093;Mouse 1093;Mouse;Dell Inc.;Mouse Dell MS111l;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Mouse 1093.; Nome GLPI: MOUSE 1093.; Referencia GLPI desatualizada: grupo=Caixa 4; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Jo?o;1467;Teclado 1467;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Teclado 1467.; Nome GLPI: TECLADO 1467.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Jo?o;0760;Scanner 0760;Scanner;Avision;BS - 0610S;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Scanner 0760.; Nome GLPI: Scanner Avision AVA6 Plus 0760.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Jo?o;1090;Monitor 1090;Monitor;Dell Inc.;DELL E1913;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Monitor 1090.; Nome GLPI: DELL 1090.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (9).csv."
Reconhecimento;Jo?o;1062;Epson 1062;Impressora;EPSON;EPSON TM-T20;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Epson 1062.; Nome GLPI: EPSON TM-T20 1062.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Jo?o;1415;Webcam 1415;Webcam;Logitech, Inc.;C920 PRO HD;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Webcam 1415.; Nome GLPI: Webcam 1415.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Jo?o;1512;Biometria joao 1512;Biometria;;;;REVISAO;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Biometria joao 1512.; Nome GLPI: Biometria joao 1512.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Jo?o;1166;Joao 1166;Desktop;Dell Inc.;Inspiron 3647;;OK;"Levantamento atual: Reconhecimento / Jo?o.; Item informado: Joao 1166.; Nome GLPI: PC-1166.; Processador: Intel Core i5-4460S CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (8).csv."
Reconhecimento;Ana Alice;1338;Ana Alice vostro 1338;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Ana Alice vostro 1338.; Nome GLPI: PC-1338.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (8).csv."
Reconhecimento;Ana Alice;1345;Ana Alice mouse 1345;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Ana Alice mouse 1345.; Nome GLPI: MOUSE 1345.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Ana Alice;1853;Teclado 1853;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Teclado 1853.; Nome GLPI: TECLADO 1853.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Ana Alice;0729;Scanner 0729;Scanner;Avision;AVA6;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Scanner 0729.; Nome GLPI: SCANNER 0729.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Ana Alice;1308;Argox 1308;Impressora de etiquetas;;;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Argox 1308.; Nome GLPI: ARGOX 1308.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Ana Alice;1305;Epson 1305;Impressora;Seiko Epson Corp.;;;OK;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Epson 1305.; Nome GLPI: IMPRESSORA TM-T20 - 1305.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Ana Alice;1944;Monitor ana alice 1944;Monitor;;;;REVISAO;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Monitor ana alice 1944.; Nome GLPI: Monitor ana alice 1944.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Ana Alice;1945;Webcam ana alice 1945;Webcam;;;;REVISAO;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Webcam ana alice 1945.; Nome GLPI: Webcam ana alice 1945.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Ana Alice;1511;Biometria ana alice 1511;Biometria;;;;REVISAO;"Levantamento atual: Reconhecimento / Ana Alice.; Item informado: Biometria ana alice 1511.; Nome GLPI: Biometria ana alice 1511.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Rafaela;1289;Rafaela vostro 1289;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Rafaela vostro 1289.; Nome GLPI: PC- 1289.; Processador: Intel Core i5-8400 CPU @ 2.80GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (8).csv."
Reconhecimento;Rafaela;1100;Teclado 1100;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Teclado 1100.; Nome GLPI: TECLADO 1100.; Referencia GLPI desatualizada: grupo=Caixa 4; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Rafaela;1349;Mouse 1349 etiqueta ruim;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Mouse 1349 etiqueta ruim.; Nome GLPI: MOUSE 1349.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv.; Revisar etiqueta/identificacao fisica: observacao registrada no levantamento."
Reconhecimento;Rafaela;1054;Epson 1054;Impressora;EPSON;;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Epson 1054.; Nome GLPI: EPSON TM-T20 1054.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Rafaela;1311;Scanner 1311;Scanner;Avision;AVA6;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Scanner 1311.; Nome GLPI: Scanner Avision AVA6 Plus 1311.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Rafaela;1309;Argox 1309;Impressora de etiquetas;;;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Argox 1309.; Nome GLPI: ARGOX 1309.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Rafaela;0135;Monitor 0135;Monitor;LG Display;W1752;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Monitor 0135.; Nome GLPI: LG 0135.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (9).csv."
Reconhecimento;Rafaela;1417;Webcam 1417;Webcam;Microsoft;C920 PRO HD;;OK;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Webcam 1417.; Nome GLPI: Webcam 1417.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Rafaela;1317;Biometria Rafaela 1317;Biometria;;;;REVISAO;"Levantamento atual: Reconhecimento / Rafaela.; Item informado: Biometria Rafaela 1317.; Nome GLPI: Biometria Rafaela 1317.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;Igor;1290;Igor pc emprestado da Camila vostro 1290;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Igor pc emprestado da Camila vostro 1290.; Nome GLPI: PC-1290.; Processador: Intel Core i5-8400 CPU @ 2.80GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Aton - 8° Andar - BBS Docs; usuario=-.; Origem GLPI: glpi (8).csv."
Reconhecimento;Igor;1301;Argox 1301;Impressora de etiquetas;;;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Argox 1301.; Nome GLPI: ARGOX 1301.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Igor;1867;Teclado 1867;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Teclado 1867.; Nome GLPI: TECLADO 1867.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Igor;1480;Mouse 1480;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Mouse 1480.; Nome GLPI: MOUSE 1480.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Igor;1881;Scanner 1881;Scanner;Brother;ADS 1250W;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Scanner 1881.; Nome GLPI: ADS 1250W 1881.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Igor;1094;Monitor 1094;Monitor;Dell Inc.;DELL E1913;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Monitor 1094.; Nome GLPI: DELL 1094.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (9).csv."
Reconhecimento;Igor;1068;Epson 1068;Impressora;EPSON;EPSON TM-T20;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Epson 1068.; Nome GLPI: EPSON TM-T20 1068.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (12).csv."
Reconhecimento;Igor;1419;Webcam 1419;Webcam;Logitech, Inc.;C920 PRO HD;;OK;"Levantamento atual: Reconhecimento / Igor.; Item informado: Webcam 1419.; Nome GLPI: Webcam 1419.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Reconhecimento;Igor;1516;Biometria igor 1516;Biometria;;;;REVISAO;"Levantamento atual: Reconhecimento / Igor.; Item informado: Biometria igor 1516.; Nome GLPI: Biometria igor 1516.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;PC Televisor;1238;Teclado 1238;Teclado;;;;REVISAO;"Levantamento atual: Reconhecimento / PC Televisor.; Item informado: Teclado 1238.; Nome GLPI: Teclado 1238.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;PC Televisor;0057;Mouse 0057;Mouse;;;;REVISAO;"Levantamento atual: Reconhecimento / PC Televisor.; Item informado: Mouse 0057.; Nome GLPI: Mouse 0057.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Reconhecimento;PC Televisor;1293;Vostro 1293;Desktop;;;;REVISAO;"Levantamento atual: Reconhecimento / PC Televisor.; Item informado: Vostro 1293.; Nome GLPI: Vostro 1293.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Procura??o;Pessoa Jur?dica;1487;Mouse 1487;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Mouse 1487.; Nome GLPI: MOUSE 1487.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Pessoa Jur?dica;1096;Teclado 1096;Teclado;Dell Inc.;DELL - Teclado USB KB-4021;;OK;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Teclado 1096.; Nome GLPI: TECLADO 1096.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Pessoa Jur?dica;1443;Pc 1443 optiplex 3080;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Pc 1443 optiplex 3080.; Nome GLPI: PC-1443.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (8).csv."
Procura??o;Pessoa Jur?dica;1396;Monitor 1396;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Monitor 1396.; Nome GLPI: DELL 1396.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (9).csv."
Procura??o;Pessoa Jur?dica;1385;Monitor 1385;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Monitor 1385.; Nome GLPI: DELL 1385.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (9).csv."
Procura??o;Pessoa Jur?dica;1951;Webcam 1951;Webcam;;;;REVISAO;"Levantamento atual: Procura??o / Pessoa Jur?dica.; Item informado: Webcam 1951.; Nome GLPI: Webcam 1951.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Procura??o;Pessoa Jur?dica;;Headset sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Procura??o;Ang?lica;1458;Teclado 1458;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Teclado 1458.; Nome GLPI: TECLADO 1458.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Ang?lica;1369;Mouse 1369;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Mouse 1369.; Nome GLPI: MOUSE 1369.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Ang?lica;1901;Headset 1901;Headset;Zox Telecom;DH-80;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Headset 1901.; Nome GLPI: HEADSET ZOX 1901.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Ang?lica;0849;Biometria talitta 0849;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster III;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Biometria talitta 0849.; Nome GLPI: Leitor Biometrico 0849.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Ang?lica;1393;Monitor ang?lica 1393;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Monitor ang?lica 1393.; Nome GLPI: DELL 1393.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (9).csv."
Procura??o;Ang?lica;1386;Monitor ang?lica 1386;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Monitor ang?lica 1386.; Nome GLPI: DELL 1386.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (9).csv."
Procura??o;Ang?lica;1524;Biometria 1524 angelica;Biometria;;;;REVISAO;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Biometria 1524 angelica.; Nome GLPI: Biometria 1524 angelica.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Procura??o;Ang?lica;1414;Webcam 1414;Webcam;Logitech, Inc.;C920 PRO HD;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Webcam 1414.; Nome GLPI: Webcam 1414.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Ang?lica;1331;Vostro 1331 angelica;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Vostro 1331 angelica.; Nome GLPI: PC-1331.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (8).csv."
Procura??o;Ang?lica;1310;Argox 1310;Impressora de etiquetas;;;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Argox 1310.; Nome GLPI: ARGOX 1310.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (12).csv."
Procura??o;Ang?lica;1101;Epson 1101;Impressora;EPSON;EPSON TM-T20;;OK;"Levantamento atual: Procura??o / Ang?lica.; Item informado: Epson 1101.; Nome GLPI: EPSON TM-T20 1101.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (12).csv."
Procura??o;Monitor Procura??o;1809;Teclado 1809;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Procura??o / Monitor Procura??o.; Item informado: Teclado 1809.; Nome GLPI: TECLADO 1809.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Monitor Procura??o;1029;Mouse 1029;Mouse;Dell Inc.;Mouse Dell MS111l;;OK;"Levantamento atual: Procura??o / Monitor Procura??o.; Item informado: Mouse 1029.; Nome GLPI: MOUSE 1029.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (11).csv."
Procura??o;Monitor Procura??o;1341;Vostro 1341;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Procura??o / Monitor Procura??o.; Item informado: Vostro 1341.; Nome GLPI: PC-1341.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (8).csv."
Invent?rio;Auxiliar Kamila;1184;Pc 1184;Desktop;Dell Inc.;Inspiron 3647;;OK;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Pc 1184.; Nome GLPI: PC-1184.; Processador: Intel Core i5-4460S CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (8).csv."
Invent?rio;Auxiliar Kamila;1947;Teclado 1947;Teclado;;;;REVISAO;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Teclado 1947.; Nome GLPI: Teclado 1947.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Invent?rio;Auxiliar Kamila;1366;Mouse 1366;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Mouse 1366.; Nome GLPI: MOUSE 1366.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (11).csv."
Invent?rio;Auxiliar Kamila;0715;Monitor 0715;Monitor;Dell Inc.;DELL D1901N;;OK;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Monitor 0715.; Nome GLPI: DELL 0715.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (9).csv."
Invent?rio;Auxiliar Kamila;;Headset sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Invent?rio;Auxiliar Kamila;1412;Monitor 1412;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Monitor 1412.; Nome GLPI: DELL 1412.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (9).csv."
Invent?rio;Auxiliar Kamila;1946;Webcam 1946;Webcam;;;;REVISAO;"Levantamento atual: Invent?rio / Auxiliar Kamila.; Item informado: Webcam 1946.; Nome GLPI: Webcam 1946.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Invent?rio;Kamila;1854;Teclado 1854;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Invent?rio / Kamila.; Item informado: Teclado 1854.; Nome GLPI: TECLADO 1854.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (11).csv."
Invent?rio;Kamila;1802;Mouse 1802;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Invent?rio / Kamila.; Item informado: Mouse 1802.; Nome GLPI: MOUSE 1802.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (11).csv."
Invent?rio;Kamila;0704;Monitor 0704;Monitor;Dell Inc.;DELL D1901N;;OK;"Levantamento atual: Invent?rio / Kamila.; Item informado: Monitor 0704.; Nome GLPI: DELL 0704.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (9).csv."
