local;estacao;patrimonio;item_informado;tipo;fabricante;modelo;numero_serie;status_importacao;observacoes
Escritura;Auxiliar Karianne;0067;Monitor 0067;Monitor;Dell Inc.;DELL E178WFP;;OK;"Levantamento atual: Escritura / Auxiliar Karianne.; Item informado: Monitor 0067.; Nome GLPI: DELL 0067.; Referencia GLPI desatualizada: grupo=T.i; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Karianne;1178;Pc 1178;Desktop;Dell Inc.;Inspiron 3647;;OK;"Levantamento atual: Escritura / Auxiliar Karianne.; Item informado: Pc 1178.; Nome GLPI: PC-1178.; Processador: Intel Core i5-4460S CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Armario T.i; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Auxiliar Karianne;1858;Webcam 1858;Webcam;Microsoft;Microsoft Life Cam HD-3000;;OK;"Levantamento atual: Escritura / Auxiliar Karianne.; Item informado: Webcam 1858.; Nome GLPI: Webcam 1858.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Karianne;1076;Teclado 1076;Teclado;Dell Inc.;DELL - Teclado USB SK-8115;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Teclado 1076.; Nome GLPI: TECLADO 1076.; Referencia GLPI desatualizada: grupo=Reconhecimento; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Karianne;1472;Mouse 1472;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Mouse 1472.; Nome GLPI: MOUSE 1472.; Referencia GLPI desatualizada: grupo=Caixa 5; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Karianne;0163;Monitor 0163;Monitor;Dell Inc.;DELL E178WFP;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Monitor 0163.; Nome GLPI: DELL 0163.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Karianne;1344;Pc vostro 1344;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Pc vostro 1344.; Nome GLPI: PC-1344.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Karianne;;Headset sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Escritura;Karianne;1394;Monitor 1394;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Monitor 1394.; Nome GLPI: DELL 1394.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Karianne;0163;Monitor 0163;Monitor;Dell Inc.;DELL E178WFP;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Monitor 0163.; Nome GLPI: DELL 0163.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv.; Duplicado no levantamento: tambem apareceu em Escritura/Karianne."
Escritura;Karianne;1740;Webcam 1740;Webcam;Microsoft;Microsoft Life Cam HD-3000;;OK;"Levantamento atual: Escritura / Karianne.; Item informado: Webcam 1740.; Nome GLPI: Webcam 1740.; Referencia GLPI desatualizada: grupo=Caixa 3; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Marcos Ramos;1434;Optiplex 1434;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Optiplex 1434.; Nome GLPI: PC-1434.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Procuração; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Marcos Ramos;1351;Teclado 1351;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Teclado 1351.; Nome GLPI: TECLADO 1351.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Marcos Ramos;;Mouse sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Escritura;Marcos Ramos;0723;Monitor 0723;Monitor;Dell Inc.;DELL D1901N;;OK;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Monitor 0723.; Nome GLPI: DELL 0723.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Marcos Ramos;0851;Biometria 0851;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster DX;;OK;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Biometria 0851.; Nome GLPI: Leitor Biometrico 0851.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Marcos Ramos;1324;Monitor 1324;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Monitor 1324.; Nome GLPI: DELL 1324.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Marcos Ramos;1963;Webcam 1963;Webcam;;;;REVISAO;"Levantamento atual: Escritura / Marcos Ramos.; Item informado: Webcam 1963.; Nome GLPI: Webcam 1963.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Auxiliar Marcos;1444;Optiplex 1444;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Optiplex 1444.; Nome GLPI: PC-1444.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Auxiliar Marcos;1962;Webcam 1962;Webcam;;;;REVISAO;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Webcam 1962.; Nome GLPI: Webcam 1962.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Auxiliar Marcos;1329;Monitor 1329;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Monitor 1329.; Nome GLPI: DELL 1329.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Marcos;1077;Monitor 1077;Monitor;Dell Inc.;DELL E1912H;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Monitor 1077.; Nome GLPI: DELL 1077.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Marcos;1356;Teclado 1356;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Teclado 1356.; Nome GLPI: TECLADO 1356.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Marcos;1481;Mouse 1481;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Mouse 1481.; Nome GLPI: MOUSE 1481.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Marcos;1522;Biometria 1522;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster DX;;OK;"Levantamento atual: Escritura / Auxiliar Marcos.; Item informado: Biometria 1522.; Nome GLPI: Leitor Biometrico 1522.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Jhessyca Borborema;1865;Teclado 1865;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Teclado 1865.; Nome GLPI: TECLADO 1865.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Jhessyca Borborema;1229;Mouse 1229;Mouse;Dell Inc.;Mouse Dell MS116;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Mouse 1229.; Nome GLPI: MOUSE 1229.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
